[session 128 finished] 10:11:53;	 mean reward = 0.3045;	 mean loss = 0.2974;	 total reward = 39.2845;	 epsilon = 0.9874
[session 129 finished] 10:12:00;	 mean reward = 0.2228;	 mean loss = 0.0900;	 total reward = 80.1997;	 epsilon = 0.9872
[session 130 finished] 10:12:00;	 mean reward = 1.1606;	 mean loss = 4.6938;	 total reward = 5.8030;	 epsilon = 0.9872
[session 131 finished] 10:12:02;	 mean reward = 0.3256;	 mean loss = 0.2870;	 total reward = 37.7718;	 epsilon = 0.9870
[session 132 finished] 10:12:03;	 mean reward = 0.6291;	 mean loss = 0.8832;	 total reward = 18.2452;	 epsilon = 0.9870
[session 133 finished] 10:12:06;	 mean reward = 0.2144;	 mean loss = 0.1990;	 total reward = 38.1636;	 epsilon = 0.9868
[session 134 finished] 10:12:14;	 mean reward = 0.1913;	 mean loss = 0.0680;	 total reward = 68.8695;	 epsilon = 0.9868
[session 135 finished] 10:12:18;	 mean reward = 0.2950;	 mean loss = 0.2407;	 total reward = 49.5651;	 epsilon = 0.9866
[session 136 finished] 10:12:27;	 mean reward = 0.2061;	 mean loss = 0.0796;	 total reward = 74.2105;	 epsilon = 0.9866
[session 137 finished] 10:12:35;	 mean reward = 0.2388;	 mean loss = 0.0942;	 total reward = 85.9564;	 epsilon = 0.9864
[session 138 finished] 10:12:40;	 mean reward = 0.2681;	 mean loss = 0.1790;	 total reward = 71.8424;	 epsilon = 0.9864
[session 139 finished] 10:12:41;	 mean reward = 0.3443;	 mean loss = 0.4126;	 total reward = 24.7926;	 epsilon = 0.9862
[session 140 finished] 10:12:49;	 mean reward = 0.2292;	 mean loss = 0.1035;	 total reward = 82.4988;	 epsilon = 0.9862
[session 141 finished] 10:12:51;	 mean reward = 0.3377;	 mean loss = 0.4150;	 total reward = 23.3007;	 epsilon = 0.9860
[session 142 finished] 10:12:53;	 mean reward = 0.3025;	 mean loss = 0.2773;	 total reward = 36.3038;	 epsilon = 0.9860
[session 143 finished] 10:12:53;	 mean reward = 1.3073;	 mean loss = 3.9184;	 total reward = 7.8439;	 epsilon = 0.9858
[session 144 finished] 10:13:00;	 mean reward = 0.2347;	 mean loss = 0.2007;	 total reward = 66.6422;	 epsilon = 0.9858
[session 145 finished] 10:13:06;	 mean reward = 0.2210;	 mean loss = 0.0828;	 total reward = 79.5755;	 epsilon = 0.9856
[session 146 finished] 10:13:07;	 mean reward = 0.4161;	 mean loss = 0.7236;	 total reward = 15.3963;	 epsilon = 0.9856
[session 147 finished] 10:13:15;	 mean reward = 0.2166;	 mean loss = 0.1074;	 total reward = 77.9867;	 epsilon = 0.9854
[session 148 finished] 10:13:15;	 mean reward = 2.0676;	 mean loss = 7.6189;	 total reward = 6.2028;	 epsilon = 0.9854
[session 149 finished] 10:13:22;	 mean reward = 0.2247;	 mean loss = 0.0960;	 total reward = 80.8904;	 epsilon = 0.9852
[session 150 finished] 10:13:23;	 mean reward = 0.5249;	 mean loss = 1.0883;	 total reward = 13.1231;	 epsilon = 0.9852
[session 151 finished] 10:13:31;	 mean reward = 0.1888;	 mean loss = 0.0785;	 total reward = 67.9706;	 epsilon = 0.9850
[session 152 finished] 10:13:39;	 mean reward = 0.2243;	 mean loss = 0.0899;	 total reward = 80.7300;	 epsilon = 0.9850
[session 153 finished] 10:13:42;	 mean reward = 0.3137;	 mean loss = 0.2560;	 total reward = 47.3639;	 epsilon = 0.9848
[session 154 finished] 10:13:49;	 mean reward = 0.2028;	 mean loss = 0.0844;	 total reward = 73.0147;	 epsilon = 0.9848
[session 155 finished] 10:13:50;	 mean reward = 0.4912;	 mean loss = 0.6622;	 total reward = 22.5958;	 epsilon = 0.9846
[session 156 finished] 10:13:59;	 mean reward = 0.1867;	 mean loss = 0.0819;	 total reward = 67.2237;	 epsilon = 0.9846
[session 157 finished] 10:14:05;	 mean reward = 0.2293;	 mean loss = 0.0895;	 total reward = 82.5332;	 epsilon = 0.9844
[session 158 finished] 10:14:13;	 mean reward = 0.2294;	 mean loss = 0.0785;	 total reward = 82.5759;	 epsilon = 0.9844
[session 159 finished] 10:14:18;	 mean reward = 0.3133;	 mean loss = 0.2386;	 total reward = 61.7223;	 epsilon = 0.9842
[session 160 finished] 10:14:27;	 mean reward = 0.2113;	 mean loss = 0.0821;	 total reward = 76.0563;	 epsilon = 0.9842
[session 161 finished] 10:14:33;	 mean reward = 0.2095;	 mean loss = 0.1518;	 total reward = 70.3915;	 epsilon = 0.9840
[session 162 finished] 10:14:36;	 mean reward = 0.3219;	 mean loss = 0.2454;	 total reward = 52.1496;	 epsilon = 0.9840
[session 163 finished] 10:14:39;	 mean reward = 0.2846;	 mean loss = 0.2478;	 total reward = 41.8350;	 epsilon = 0.9838
[session 164 finished] 10:14:45;	 mean reward = 0.2538;	 mean loss = 0.1718;	 total reward = 69.8030;	 epsilon = 0.9838
[session 165 finished] 10:14:54;	 mean reward = 0.1983;	 mean loss = 0.0924;	 total reward = 71.3837;	 epsilon = 0.9836
